symbol,date,expiry,option_type,strike_price,open,high,low,close,ltp,settle_price,no_of_contracts,turnover_in_lakhs,premium_turnover_in_lakhs,open_int,change_in_oi,underlying_value,time_to_expiration
NIFTY,2025-05-12,2025-05-15,CE,23350.0,1207.75,1634.85,1193.15,1634.85,1634.85,1634.85,135.0,2506.22,142.03,15150.0,-1200.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24650.0,65.95,424.9,63.35,400.9,405.0,400.9,828939.0,15439650.9,114641.13,675900.0,-129600.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23450.0,1130.6,1540.0,1124.3,1539.8,1538.65,1539.8,73.0,1351.78,67.9,8250.0,-150.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24950.0,24.05,218.35,17.1,198.7,207.35,198.7,970322.0,18242120.78,84970.36,1382475.0,662925.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25700.0,3.0,20.75,1.85,14.15,13.25,14.15,776840.0,14979052.15,5461.15,5004675.0,2554725.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23750.0,722.85,1241.25,683.0,1215.35,1214.7,1215.35,1467.0,27117.55,986.62,54300.0,-12375.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22800.0,1790.0,2150.0,1790.0,2150.0,2150.0,2150.0,18.0,333.82,26.02,12225.0,-1050.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24150.0,299.95,861.95,299.85,834.9,837.65,834.9,20248.0,374120.71,7378.81,945900.0,-296325.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22900.0,1680.0,1900.0,1680.0,1900.0,1900.0,2036.85,87.0,1612.93,118.7,18375.0,-4725.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23000.0,1392.1,1982.0,1392.1,1955.35,1966.95,1955.35,2053.0,38116.77,2702.52,175350.0,-125400.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23100.0,1437.85,1882.85,1428.4,1858.2,1882.85,1858.2,143.0,2652.82,175.35,59175.0,-7875.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25150.0,16.0,125.8,7.3,106.45,111.45,106.45,756471.0,14301511.66,32577.42,885150.0,-74475.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23950.0,459.25,1050.0,459.25,1023.5,1023.75,1023.5,9873.0,182693.14,5349.38,733050.0,-96525.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24000.0,355.5,1005.0,352.6,974.9,973.75,974.9,100100.0,1853366.37,51566.37,2833725.0,-1629450.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24250.0,257.0,767.6,225.35,736.4,746.5,736.4,27918.0,516484.75,8726.13,201825.0,-479925.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24450.0,133.75,590.55,133.7,568.3,564.15,568.3,176420.0,3268773.71,33671.96,639900.0,-1006425.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24500.0,128.0,548.0,108.0,521.9,524.7,521.9,891841.0,16558100.67,170522.29,2528100.0,-2312550.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23300.0,1256.95,1687.0,1256.95,1655.0,1665.65,1655.0,295.0,5491.14,336.02,46050.0,-11925.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24800.0,41.85,312.0,33.6,292.4,300.75,292.4,2319005.0,43410743.29,277250.29,3148050.0,-434475.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25050.0,25.35,167.85,11.0,147.4,152.6,147.4,836009.0,15755890.71,49371.62,916725.0,-81825.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25800.0,2.2,15.1,1.7,10.1,9.2,10.1,692232.0,13398258.06,3568.86,3934725.0,2204850.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,26000.0,1.5,8.85,1.4,5.5,5.05,5.5,1469113.0,28652048.65,4345.15,11974125.0,3599550.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23600.0,779.7,1390.0,779.7,1362.75,1376.45,1362.75,1186.0,21927.59,935.39,102750.0,-27825.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23650.0,842.1,1341.5,842.1,1330.45,1322.15,1330.45,936.0,17289.04,686.74,47550.0,975.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22650.0,2073.95,2073.95,2073.95,2073.95,2073.95,2286.7,1.0,18.54,1.56,2325.0,-75.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22700.0,2000.0,2152.0,2000.0,2152.0,2152.0,2236.75,22.0,408.01,33.46,14625.0,-675.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22850.0,1628.2,1780.0,1628.2,1780.0,1780.0,2086.85,19.0,350.86,25.25,3600.0,-375.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22950.0,1623.05,2020.3,1623.05,2020.3,2020.3,2020.3,4.0,74.2,5.35,3375.0,-150.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23250.0,1230.65,1603.8,1230.65,1551.3,1551.3,1687.05,35.0,647.87,37.55,3900.0,-1050.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24600.0,78.15,465.6,78.0,442.4,444.5,442.4,1447692.0,26926345.13,216427.73,2344875.0,-1674825.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24900.0,30.45,246.5,21.5,227.05,234.0,227.05,1833689.0,34433619.57,189477.5,2696325.0,456150.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23800.0,555.0,1197.35,555.0,1176.6,1174.4,1176.6,7682.0,142125.04,5001.34,341100.0,-259575.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24050.0,412.9,953.25,407.05,929.4,925.8,929.4,21023.0,388368.15,9165.79,1814625.0,-288600.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23050.0,1520.0,1681.2,1520.0,1681.2,1681.2,1886.95,5.0,92.37,5.93,2775.0,-300.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23400.0,1051.35,1588.0,1051.35,1556.1,1554.75,1556.1,313.0,5794.01,300.86,43350.0,-8475.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23500.0,800.05,1490.0,800.05,1468.85,1470.25,1468.85,4691.0,86855.28,4176.41,385650.0,-179700.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24850.0,35.6,276.2,26.4,257.8,265.6,257.8,1159969.0,21747727.42,128805.18,998400.0,-185100.0,24924.7,0.008213552361396304
